time,value
2025-06-05T19:09:59.85502312Z,374
2025-06-05T19:10:44.51767794Z,372
2025-06-05T19:12:13.78713168Z,373
2025-06-05T19:12:58.452778553Z,375
2025-06-05T19:13:43.100681598Z,372
2025-06-05T19:14:27.727493711Z,375
2025-06-05T19:15:12.372637547Z,374
2025-06-05T19:16:41.662860637Z,372
2025-06-05T19:17:26.313267447Z,373
2025-06-05T19:18:10.965542195Z,374
2025-06-05T19:18:55.593917888Z,375
2025-06-05T19:20:24.878292208Z,372
2025-06-05T19:22:38.795321039Z,373
2025-06-05T19:23:23.450894804Z,372
2025-06-05T19:24:52.767751852Z,374
2025-06-05T19:25:37.425247225Z,373
2025-06-05T19:26:22.051463455Z,375
2025-06-05T19:27:06.69488177Z,374
2025-06-05T19:28:35.934495947Z,373
2025-06-05T19:30:05.209122074Z,375
2025-06-05T19:30:49.856341129Z,371
2025-06-05T19:31:34.480722798Z,373
2025-06-05T19:33:03.777121042Z,374
2025-06-05T19:33:48.442930984Z,371
2025-06-05T19:34:33.05786693Z,374
2025-06-05T19:35:17.696016987Z,373
2025-06-05T19:36:02.354264927Z,374
2025-06-05T19:36:47.013396217Z,372
2025-06-05T19:38:17.826618943Z,374
2025-06-05T19:39:00.954873601Z,373
2025-06-05T19:40:30.250665411Z,375
2025-06-05T19:41:14.872488922Z,371
2025-06-05T19:41:59.524388224Z,373
2025-06-05T19:42:44.164395727Z,374
2025-06-05T19:44:13.473625367Z,372
2025-06-05T19:44:58.138716448Z,375
2025-06-05T19:45:42.788126789Z,374
2025-06-05T19:46:27.45121484Z,375
2025-06-05T19:47:12.112688551Z,374
2025-06-05T19:47:56.774704976Z,381
2025-06-05T19:48:41.438534469Z,372
2025-06-05T19:49:26.093575764Z,373
2025-06-05T19:50:10.753366954Z,376
2025-06-05T19:50:55.416400926Z,373
2025-06-05T19:52:24.780498416Z,374
2025-06-05T19:53:09.368348428Z,375
2025-06-05T19:53:54.026442553Z,373
2025-06-05T19:54:38.653856744Z,376
2025-06-05T19:55:23.313803347Z,372
2025-06-05T19:56:07.966238517Z,373
2025-06-05T19:56:52.624836603Z,372
2025-06-05T19:57:37.282668859Z,374
2025-06-05T19:58:21.923072113Z,372
2025-06-05T19:59:51.19516918Z,375
2025-06-05T20:00:35.841360073Z,374
2025-06-05T20:01:20.4799446Z,373
2025-06-05T20:03:34.413321971Z,371
2025-06-05T20:04:19.058603018Z,375
2025-06-05T20:05:03.711915607Z,372
2025-06-05T20:05:48.354288319Z,373
2025-06-05T20:07:17.608164432Z,375
2025-06-05T20:08:02.266460991Z,371
2025-06-05T20:08:46.922665398Z,373
2025-06-05T20:09:31.590130552Z,372
2025-06-05T20:10:16.24745779Z,378
2025-06-05T20:11:00.907976957Z,381
2025-06-05T20:11:45.575059343Z,372
2025-06-05T20:12:30.244140793Z,374
2025-06-05T20:13:14.887575985Z,375
2025-06-05T20:13:59.53003366Z,373
2025-06-05T20:15:28.834620821Z,372
2025-06-05T20:16:13.499015574Z,373
2025-06-05T20:16:58.130221169Z,372
2025-06-05T20:18:27.406971822Z,380
2025-06-05T20:19:12.037911067Z,372
2025-06-05T20:19:56.661628506Z,371
2025-06-05T20:20:41.30862931Z,373
2025-06-05T20:21:25.954108856Z,376
2025-06-05T20:22:10.597355856Z,372
2025-06-05T20:26:38.424825812Z,373
2025-06-05T20:28:07.72162408Z,372
2025-06-05T20:28:52.373420693Z,371
2025-06-05T20:29:37.040797286Z,373
2025-06-05T20:31:06.331733307Z,372
2025-06-05T20:31:50.989438589Z,373
2025-06-05T20:34:04.939736732Z,374
